GEOID20,District
34015090039,4
34015055326,4
34015055306,4
34015055107,4
34015055117,4
34015010014,5
34015010005,5
34015055120,4
34015055124,4
34015090034,4
34015090018,4
34015090029,4
34015090003,4
34015090028,4
34015090036,4
34015090016,4
34015090017,4
34015090009,4
34015090010,4
34015090027,4
34015090026,4
34015090025,4
34015090024,4
34015090023,4
34015090012,4
34007075039,4
34007075008,4
34015090006,4
34015010001,5
34015010003,5
34015090035,4
34015090033,4
34015090031,4
34015090032,4
34015030006,3
34015075002,3
34015115002,5
34015115001,5
34015100012,3
34015115004,5
34015010011,5
34015100018,3
34015010013,5
34015100019,3
34015095002,3
34015050004,3
34015095001,3
34015010012,5
34015115003,5
34015095003,3
34015055210,4
34015090030,4
34015090022,4
34007110006,6
34007075028,4
34007075040,4
34007075037,4
34007075038,4
34007140004,6
34007075029,4
34015090007,4
34007075007,4
34007075005,4
34007075010,4
34007075027,4
34007075033,4
34007140006,6
34015090015,4
34015090013,4
34015090011,4
34015090020,4
34015090014,4
34015090021,4
34015090019,4
34007075032,4
34007160005,6
34009045001,1
34009055015,1
34009055011,1
34009055010,1
34009055005,1
34009020002,1
34009045003,1
34009030012,1
34009030008,1
34009005003,1
34009005002,1
34009030011,1
34009030010,1
34009010005,1
34009010004,1
34009055014,1
34009055003,1
34009055004,1
